Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English,HSK level
我经常去那家饭馆吃饭。,Wǒ jīngcháng qù nà jiā fànguǎn chīfàn.,I often go to that restaurant eating.,我经常去那家饭馆吃饭。 - Wǒ jīngcháng qù nà jiā fànguǎn chīfàn.,Wǒ jīngcháng qù nà jiā fànguǎn chīfàn. - I often go to that restaurant eating.,2
这里有很多饭馆都可以叫外卖。,Zhèlǐ yǒu hěnduō fànguǎn dōu kěyǐ jiào wàimài.,Many restaurants here provide takeaway service.,这里有很多饭馆都可以叫外卖。 - Zhèlǐ yǒu hěnduō fànguǎn dōu kěyǐ jiào wàimài.,Zhèlǐ yǒu hěnduō fànguǎn dōu kěyǐ jiào wàimài. - Many restaurants here provide takeaway service.,2
假日的时候，我总是和朋友去看电影。,Jiǎ rì de shí hòu ，wǒ zǒng shì hé péng yǒu qù kàn diàn yǐng.,"During the holidays, I always go watching movies with friends.",假日的时候，我总是和朋友去看电影。 - Jiǎ rì de shí hòu ，wǒ zǒng shì hé péng yǒu qù kàn diàn yǐng.,"Jiǎ rì de shí hòu ，wǒ zǒng shì hé péng yǒu qù kàn diàn yǐng. - During the holidays, I always go watching movies with friends.",3
我上个星期六在公园遇到他。,Wǒ shàng gè xīngqīliù zài gōngyuán yùdào tā.,I met him last Saturday in the park.,我上个星期六在公园遇到他。 - Wǒ shàng gè xīngqīliù zài gōngyuán yùdào tā.,Wǒ shàng gè xīngqīliù zài gōngyuán yùdào tā. - I met him last Saturday in the park.,3
我们下个月有十天的假期。,Wǒmen xià gè yuè yǒu shí tiān de jiàqī.,We have a ten day vacation next month.,我们下个月有十天的假期。 - Wǒmen xià gè yuè yǒu shí tiān de jiàqī.,Wǒmen xià gè yuè yǒu shí tiān de jiàqī. - We have a ten day vacation next month.,3
法国南方是最多人去旅行的地方。,Fǎguó nánfāng shì zuìduō rén qù lǚxíng dì dìfāng.,Southern France is the place with most people traveling.,法国南方是最多人去旅行的地方。 - Fǎguó nánfāng shì zuìduō rén qù lǚxíng dì dìfāng.,Fǎguó nánfāng shì zuìduō rén qù lǚxíng dì dìfāng. - Southern France is the place with most people traveling.,3
每天十个小时的锻炼，他得到了这次的第一名,"Měitiān shí ge xiǎoshí de duànliàn, tā dédàole zhè cì de dì yī míng.",He got the first place due to ten hours working our per day.,"每天十个小时的锻炼，他得到了这次的第一名 - Měitiān shí ge xiǎoshí de duànliàn, tā dédàole zhè cì de dì yī míng.","Měitiān shí ge xiǎoshí de duànliàn, tā dédàole zhè cì de dì yī míng. - He got the first place due to ten hours working our per day.",3
你有两个选择，一是跟我们一起去看电影，二是在家睡觉。,Nǐ yǒu liǎng gè xuǎn zé ，yī shì gēn wǒ men yī qǐ qù kàn diàn yǐng ，èr shì zài jiā shuì jiào。,"You have two options, one is go with us to the movies, the second is to sleep at home.",你有两个选择，一是跟我们一起去看电影，二是在家睡觉。 - Nǐ yǒu liǎng gè xuǎn zé ，yī shì gēn wǒ men yī qǐ qù kàn diàn yǐng ，èr shì zài jiā shuì jiào。,"Nǐ yǒu liǎng gè xuǎn zé ，yī shì gēn wǒ men yī qǐ qù kàn diàn yǐng ，èr shì zài jiā shuì jiào。 - You have two options, one is go with us to the movies, the second is to sleep at home.",3
我今天下午三点就完成工作了。,wǒ jīn tiān xià wǔ sān diǎn jiù wán chéng gōng zuò le.,I finished my work at three o'clock this afternoon.,我今天下午三点就完成工作了。 - wǒ jīn tiān xià wǔ sān diǎn jiù wán chéng gōng zuò le.,wǒ jīn tiān xià wǔ sān diǎn jiù wán chéng gōng zuò le. - I finished my work at three o'clock this afternoon.,3
星期天我必须去学校。,xīng qī tiān wǒ bì xū qù xué xiào.,I have to go to school on Sunday.,星期天我必须去学校。 - xīng qī tiān wǒ bì xū qù xué xiào.,xīng qī tiān wǒ bì xū qù xué xiào. - I have to go to school on Sunday.,3
我刚才买了一本书。,wǒ gāng cái mǎi le yī běn shū.,I just bought a book.,我刚才买了一本书。 - wǒ gāng cái mǎi le yī běn shū.,wǒ gāng cái mǎi le yī běn shū. - I just bought a book.,3
从我家到机场很容易。,Cóng wǒ jiā dào jī chǎng hěn róng yì.,It's easy to get from my home to the airport.,从我家到机场很容易。 - Cóng wǒ jiā dào jī chǎng hěn róng yì.,Cóng wǒ jiā dào jī chǎng hěn róng yì. - It's easy to get from my home to the airport.,3
在这次比赛中，她得到了第三名。,zài zhè cì bǐ sài zhōng ，tā dé dào le dì sān míng.,She got the third place in this competition.,在这次比赛中，她得到了第三名。 - zài zhè cì bǐ sài zhōng ，tā dé dào le dì sān míng.,zài zhè cì bǐ sài zhōng ，tā dé dào le dì sān míng. - She got the third place in this competition.,3
没事，只是有一点累。,Méi shì ，zhǐshì yǒu yī diǎn lèi.,"It's nothing, just a little bit tired.",没事，只是有一点累。 - Méi shì ，zhǐshì yǒu yī diǎn lèi.,"Méi shì ，zhǐshì yǒu yī diǎn lèi. - It's nothing, just a little bit tired.",3
你没有必要为这件事生气。,nǐ méi yǒu bì yào wéi zhè jiàn shì shēng qì.,You don't have to be angry about this.,你没有必要为这件事生气。 - nǐ méi yǒu bì yào wéi zhè jiàn shì shēng qì.,nǐ méi yǒu bì yào wéi zhè jiàn shì shēng qì. - You don't have to be angry about this.,3
站住!你怎么可以对妈妈说种些话?,Zhàn zhù !nǐ zěn me kě yǐ duì mā mā shuō zhǒng xiē huà ?,Wait! How could you say something like this to your mother?,站住!你怎么可以对妈妈说种些话? - Zhàn zhù !nǐ zěn me kě yǐ duì mā mā shuō zhǒng xiē huà ?,Zhàn zhù !nǐ zěn me kě yǐ duì mā mā shuō zhǒng xiē huà ? - Wait! How could you say something like this to your mother?,3
这真是一个好办法。,zhè zhēn shì yī gè hǎo bàn fǎ.,It's really a great idea!,这真是一个好办法。 - zhè zhēn shì yī gè hǎo bàn fǎ.,zhè zhēn shì yī gè hǎo bàn fǎ. - It's really a great idea!,3
我的妈妈很了解我。,Wǒ de māmā hěn liǎojiě wǒ.,My mother knows me very well.,我的妈妈很了解我。 - Wǒ de māmā hěn liǎojiě wǒ.,Wǒ de māmā hěn liǎojiě wǒ. - My mother knows me very well.,3
这里的秋天不太冷。,zhè lǐ de qiū tiān bù tài lěng.,The autumn here is not so cold.,这里的秋天不太冷。 - zhè lǐ de qiū tiān bù tài lěng.,zhè lǐ de qiū tiān bù tài lěng. - The autumn here is not so cold.,3
她看起来非常年轻。,tā kàn qǐ lái fēi cháng nián qīng.,She seems very young.,她看起来非常年轻。 - tā kàn qǐ lái fēi cháng nián qīng.,tā kàn qǐ lái fēi cháng nián qīng. - She seems very young.,3
这真是一个很大的问题。,Zhè zhēn shì yī gè hěn dà de wèn tí.,This is really a big issue.,这真是一个很大的问题。 - Zhè zhēn shì yī gè hěn dà de wèn tí.,Zhè zhēn shì yī gè hěn dà de wèn tí. - This is really a big issue.,2
哭是解决不了问题的。,Kū shì jiě jué bù le wèn tí de.,Crying can not solve the problem.,哭是解决不了问题的。 - Kū shì jiě jué bù le wèn tí de.,Kū shì jiě jué bù le wèn tí de. - Crying can not solve the problem.,3
她是一个聪明的生意人。,Tā shì yī gè cōng míng de shēng yì rén.,She's a smart businessperson.,她是一个聪明的生意人。 - Tā shì yī gè cōng míng de shēng yì rén.,Tā shì yī gè cōng míng de shēng yì rén. - She's a smart businessperson.,3
真难得今天可以六点以前到家。,Zhēn nándé jīntiān kěyǐ liù diǎn yǐqián dào jiā.,How rare that I can arrive home before six today!,真难得今天可以六点以前到家。 - Zhēn nándé jīntiān kěyǐ liù diǎn yǐqián dào jiā.,Zhēn nándé jīntiān kěyǐ liù diǎn yǐqián dào jiā. - How rare that I can arrive home before six today!,3
爸爸去电影院看电影的时候总是睡着。,Bàba qù diànyǐngyuàn kàn diànyǐng de shíhòu zǒng shì shuì zháo.,Dad always fell asleep when he goes to the cinema for watching movies.,爸爸去电影院看电影的时候总是睡着。 - Bàba qù diànyǐngyuàn kàn diànyǐng de shíhòu zǒng shì shuì zháo.,Bàba qù diànyǐngyuàn kàn diànyǐng de shíhòu zǒng shì shuì zháo. - Dad always fell asleep when he goes to the cinema for watching movies.,3
今天早上太忙，早饭没吃饱。,"Jīntiān zǎo shàng tài máng, zǎo fàn méi chī bǎo.","I'm too busy this morning, I couldn't eat my breakfast till full.","今天早上太忙，早饭没吃饱。 - Jīntiān zǎo shàng tài máng, zǎo fàn méi chī bǎo.","Jīntiān zǎo shàng tài máng, zǎo fàn méi chī bǎo. - I'm too busy this morning, I couldn't eat my breakfast till full.",3
从前，有一个老人住在这里。,"Cóngqián, yǒu yī gè lǎo rén zhù zài zhè lǐ.","Before, there's an old man living here.","从前，有一个老人住在这里。 - Cóngqián, yǒu yī gè lǎo rén zhù zài zhè lǐ.","Cóngqián, yǒu yī gè lǎo rén zhù zài zhè lǐ. - Before, there's an old man living here.",2
我有一个主意，但不知道好不好。,Wǒ yǒu yī gè zhǔ yì ，dàn bù zhī dào hǎo bù hǎo.,I have an idea but I'm not sure it's good or not.,我有一个主意，但不知道好不好。 - Wǒ yǒu yī gè zhǔ yì ，dàn bù zhī dào hǎo bù hǎo.,Wǒ yǒu yī gè zhǔ yì ，dàn bù zhī dào hǎo bù hǎo. - I have an idea but I'm not sure it's good or not.,3
他怎么想，我不在乎。,"Tā zěn me xiǎng, wǒ bù zài hū.",I don't care what he thinks.,"他怎么想，我不在乎。 - Tā zěn me xiǎng, wǒ bù zài hū.","Tā zěn me xiǎng, wǒ bù zài hū. - I don't care what he thinks.",3
当一名记者是我的理想。,Dāng yī míng jìzhě shì wǒ de lǐ xiǎng.,Being a reporter is my dream.,当一名记者是我的理想。 - Dāng yī míng jìzhě shì wǒ de lǐ xiǎng.,Dāng yī míng jìzhě shì wǒ de lǐ xiǎng. - Being a reporter is my dream.,3
服务员，请给我一杯可乐。,"Fú wù yuán, qǐng gěi wǒ yī bēi kě lè.","Waiter, please give me a glass of cola.","服务员，请给我一杯可乐。 - Fú wù yuán, qǐng gěi wǒ yī bēi kě lè.","Fú wù yuán, qǐng gěi wǒ yī bēi kě lè. - Waiter, please give me a glass of cola.",2
虽然我的愿望都没实现，但是我还是很快乐，因为我有我的朋友和家人。,"Suīrán wǒ de yuànwàng dōu méi shíxiàn, dànshì wǒ háishì hěn kuàilè, yīnwèi wǒ yǒu wǒ de péngyǒu hé jiārén.","Although my dreams didn't come true, I'm still happy because I have my friends and family.","虽然我的愿望都没实现，但是我还是很快乐，因为我有我的朋友和家人。 - Suīrán wǒ de yuànwàng dōu méi shíxiàn, dànshì wǒ háishì hěn kuàilè, yīnwèi wǒ yǒu wǒ de péngyǒu hé jiārén.","Suīrán wǒ de yuànwàng dōu méi shíxiàn, dànshì wǒ háishì hěn kuàilè, yīnwèi wǒ yǒu wǒ de péngyǒu hé jiārén. - Although my dreams didn't come true, I'm still happy because I have my friends and family.",3
在我面前你可以说实话，不用担心。,Zài wǒ miàn qián nǐ kě yǐ shuō shí huà ，bù yòng dān xīn.,"You can tell the truth in front of me, don't worry.",在我面前你可以说实话，不用担心。 - Zài wǒ miàn qián nǐ kě yǐ shuō shí huà ，bù yòng dān xīn.,"Zài wǒ miàn qián nǐ kě yǐ shuō shí huà ，bù yòng dān xīn. - You can tell the truth in front of me, don't worry.",3
想试穿的话里面有更衣间。,Xiǎng shìchuān de huà lǐ miàn yǒu gēng yī jiān.,There's the fitting room if you want to try them.,想试穿的话里面有更衣间。 - Xiǎng shìchuān de huà lǐ miàn yǒu gēng yī jiān.,Xiǎng shìchuān de huà lǐ miàn yǒu gēng yī jiān. - There's the fitting room if you want to try them.,3
她的能力不差，但是需要有人帮她一把。,Tā de néng lì bù chà ，dàn shì xū yào yǒu rén bāng tā yī bǎ.,"Her capabilities are okay, but she needs someone to help her a bit.",她的能力不差，但是需要有人帮她一把。 - Tā de néng lì bù chà ，dàn shì xū yào yǒu rén bāng tā yī bǎ.,"Tā de néng lì bù chà ，dàn shì xū yào yǒu rén bāng tā yī bǎ. - Her capabilities are okay, but she needs someone to help her a bit.",3
我的护照不见了，明天要去重新办一本。,"Wǒ de hùzhào bùjiànle, míngtiān yào qù chóngxīn bàn yī běn.","I lost my passport, I'll apply for a new one tomorrow.","我的护照不见了，明天要去重新办一本。 - Wǒ de hùzhào bùjiànle, míngtiān yào qù chóngxīn bàn yī běn.","Wǒ de hùzhào bùjiànle, míngtiān yào qù chóngxīn bàn yī běn. - I lost my passport, I'll apply for a new one tomorrow.",3
吃完饭后，请自动把碗洗一洗。,"Chī wán fàn hòu, qǐng zì dòng bǎ wǎn xǐ yī xǐ.",Please voluntarily wash the dishes after dinner.,"吃完饭后，请自动把碗洗一洗。 - Chī wán fàn hòu, qǐng zì dòng bǎ wǎn xǐ yī xǐ.","Chī wán fàn hòu, qǐng zì dòng bǎ wǎn xǐ yī xǐ. - Please voluntarily wash the dishes after dinner.",3
在我不知道怎么办的时候，妈妈会给我她的意见。,"Zài wǒ bù zhīdào zěnmebàn de shíhòu, māma huì gěi wǒ tā de yìjiàn.","When I don't know what to do, my mom will give me her advice.","在我不知道怎么办的时候，妈妈会给我她的意见。 - Zài wǒ bù zhīdào zěnmebàn de shíhòu, māma huì gěi wǒ tā de yìjiàn.","Zài wǒ bù zhīdào zěnmebàn de shíhòu, māma huì gěi wǒ tā de yìjiàn. - When I don't know what to do, my mom will give me her advice.",3
我的老师会问我们对中文课的想法。,Wǒ de lǎoshī huì wèn wǒmen duì zhōngwén kè de xiǎngfǎ.,My teacher will ask us our opinions about Chinese class.,我的老师会问我们对中文课的想法。 - Wǒ de lǎoshī huì wèn wǒmen duì zhōngwén kè de xiǎngfǎ.,Wǒ de lǎoshī huì wèn wǒmen duì zhōngwén kè de xiǎngfǎ. - My teacher will ask us our opinions about Chinese class.,3
昨天晚上喝了很多酒，今天头很疼。,"Zuótiān wǎnshàng hēle hěnduō jiǔ, jīntiān tóu hěn téng.","I drank too much alcohol, I had a headache today.","昨天晚上喝了很多酒，今天头很疼。 - Zuótiān wǎnshàng hēle hěnduō jiǔ, jīntiān tóu hěn téng.","Zuótiān wǎnshàng hēle hěnduō jiǔ, jīntiān tóu hěn téng. - I drank too much alcohol, I had a headache today.",3
这辆名贵的车是我爸爸的。,Zhè liàng míng guì de chē shì wǒ bà bà de.,This valuable car is my dad's.,这辆名贵的车是我爸爸的。 - Zhè liàng míng guì de chē shì wǒ bà bà de.,Zhè liàng míng guì de chē shì wǒ bà bà de. - This valuable car is my dad's.,3
她不愿意跟我说话。,Tā bù yuàn yì gēn wǒ shuōhuà.,She's not willing to talk to me.,她不愿意跟我说话。 - Tā bù yuàn yì gēn wǒ shuōhuà.,Tā bù yuàn yì gēn wǒ shuōhuà. - She's not willing to talk to me.,3
下个星期我要出差，没办法上课。,"Xià ge xīngqī wǒ yào chūchāi, méi bànfǎ shàngkè.",I'm going on a business trip next week so I can't take the class.,"下个星期我要出差，没办法上课。 - Xià ge xīngqī wǒ yào chūchāi, méi bànfǎ shàngkè.","Xià ge xīngqī wǒ yào chūchāi, méi bànfǎ shàngkè. - I'm going on a business trip next week so I can't take the class.",3
我们家有六个孩子，五个男生和一个女生。,"Wǒ men jiā yǒu liù gè hái zǐ, wǔ gè nán shēng hé yī gè nǚ shēng.","There are six children in my family, five boys and a girl.","我们家有六个孩子，五个男生和一个女生。 - Wǒ men jiā yǒu liù gè hái zǐ, wǔ gè nán shēng hé yī gè nǚ shēng.","Wǒ men jiā yǒu liù gè hái zǐ, wǔ gè nán shēng hé yī gè nǚ shēng. - There are six children in my family, five boys and a girl.",2
这件衣服有三种不同的颜色。,Zhè jiàn yī fú yǒu sān zhǒng bù tóng de yán sè.,This shirt has three different colors.,这件衣服有三种不同的颜色。 - Zhè jiàn yī fú yǒu sān zhǒng bù tóng de yán sè.,Zhè jiàn yī fú yǒu sān zhǒng bù tóng de yán sè. - This shirt has three different colors.,3
他是外行的，你跟他说他听不懂。,"Tā shì wài háng de, nǐ gēn tā shuō tā tīng bù dǒng.","He's nonprofessional, he won't understand what you say.","他是外行的，你跟他说他听不懂。 - Tā shì wài háng de, nǐ gēn tā shuō tā tīng bù dǒng.","Tā shì wài háng de, nǐ gēn tā shuō tā tīng bù dǒng. - He's nonprofessional, he won't understand what you say.",3
我家楼下住了一对老夫妻。,Wǒ jiā lóuxià zhù le yī duì lǎo fū qī.,There's an old couple living downstairs.,我家楼下住了一对老夫妻。 - Wǒ jiā lóuxià zhù le yī duì lǎo fū qī.,Wǒ jiā lóuxià zhù le yī duì lǎo fū qī. - There's an old couple living downstairs.,3
这家小吃店总是有很多人,Zhè jiā xiǎochī diàn zǒng shì yǒu hěnduō rén.,There are always many people in this snack bar.,这家小吃店总是有很多人 - Zhè jiā xiǎochī diàn zǒng shì yǒu hěnduō rén.,Zhè jiā xiǎochī diàn zǒng shì yǒu hěnduō rén. - There are always many people in this snack bar.,3
爸爸最近很忙，几乎没有时间休息。,Bàbɑ zuìjìn hěn máng ， jīhū méiyǒu shíjiān xiūxi .,Dad's very busy recently and almost has no time to rest.,爸爸最近很忙，几乎没有时间休息。 - Bàbɑ zuìjìn hěn máng ， jīhū méiyǒu shíjiān xiūxi .,Bàbɑ zuìjìn hěn máng ， jīhū méiyǒu shíjiān xiūxi . - Dad's very busy recently and almost has no time to rest.,3
这天气，我看是没办法去旅游了。,Zhè tiānqì ，wǒ kàn shì méi bànfǎ qù lǚyóu le .,"See this weather, I don't think we can go travel.",这天气，我看是没办法去旅游了。 - Zhè tiānqì ，wǒ kàn shì méi bànfǎ qù lǚyóu le .,"Zhè tiānqì ，wǒ kàn shì méi bànfǎ qù lǚyóu le . - See this weather, I don't think we can go travel.",3
太早了，不知道去哪儿打车。,Tài zǎo le ， bù zhīdào qù nǎr dǎchē .,"It's too early, I don't know where can I call a taxi.",太早了，不知道去哪儿打车。 - Tài zǎo le ， bù zhīdào qù nǎr dǎchē .,"Tài zǎo le ， bù zhīdào qù nǎr dǎchē . - It's too early, I don't know where can I call a taxi.",2
我下课后马上回家。,Wǒ xiàkè hòu mǎshàng huí jiā.,After class is over I immediately go home.,我下课后马上回家。 - Wǒ xiàkè hòu mǎshàng huí jiā.,Wǒ xiàkè hòu mǎshàng huí jiā. - After class is over I immediately go home.,3
现在网路有一点问题，一时半会还没办法工作。,Xiàn zài wǎng lù yǒu yī diǎn wèn tí ，yī shí bàn huì hái méi bàn fǎ gōng zuò.,"The internet has some problems now, we cannot work for a short time.",现在网路有一点问题，一时半会还没办法工作。 - Xiàn zài wǎng lù yǒu yī diǎn wèn tí ，yī shí bàn huì hái méi bàn fǎ gōng zuò.,"Xiàn zài wǎng lù yǒu yī diǎn wèn tí ，yī shí bàn huì hái méi bàn fǎ gōng zuò. - The internet has some problems now, we cannot work for a short time.",3
