Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English
她脸上有不满的表情。,Tā liǎn shàng yǒu bùmǎn de biǎoqíng.,Her face expressed dissatisfaction.,她脸上有不满的表情。 - Tā liǎn shàng yǒu bùmǎn de biǎoqíng.,Tā liǎn shàng yǒu bùmǎn de biǎoqíng. - Her face expressed dissatisfaction.
我的手表走时准确。,Wǒ de shǒubiǎo zǒushí zhǔnquè.,My watch is accurate.,我的手表走时准确。 - Wǒ de shǒubiǎo zǒushí zhǔnquè.,Wǒ de shǒubiǎo zǒushí zhǔnquè. - My watch is accurate.
我想我的第一印象是对的。,Wǒ xiǎng wǒ de dì yī yìnxiàng shì duì de.,I think my first impression is correct.,我想我的第一印象是对的。 - Wǒ xiǎng wǒ de dì yī yìnxiàng shì duì de.,Wǒ xiǎng wǒ de dì yī yìnxiàng shì duì de. - I think my first impression is correct.
他担任我的向导。,Tā dānrèn wǒ de xiàngdǎo.,He acted as my guide.,他担任我的向导。 - Tā dānrèn wǒ de xiàngdǎo.,Tā dānrèn wǒ de xiàngdǎo. - He acted as my guide.
咱们重新开始吧！,Zánmen chóngxīn kāishǐ ba!,Let's start anew!,咱们重新开始吧！ - Zánmen chóngxīn kāishǐ ba!,Zánmen chóngxīn kāishǐ ba! - Let's start anew!
到时候见。,Dào shíhòu jiàn.,See you then.,到时候见。 - Dào shíhòu jiàn.,Dào shíhòu jiàn. - See you then.
我要不要买一件红色的T恤衫？,Wǒ yào búyào mǎi yī jiàn hóngsè de T xùshān?,Do you want to buy a red T-shirt?,我要不要买一件红色的T恤衫？ - Wǒ yào búyào mǎi yī jiàn hóngsè de T xùshān?,Wǒ yào búyào mǎi yī jiàn hóngsè de T xùshān? - Do you want to buy a red T-shirt?
把那个号码给我。,Bǎ nàgè hàomǎ gěi wǒ.,Give me the number.,把那个号码给我。 - Bǎ nàgè hàomǎ gěi wǒ.,Bǎ nàgè hàomǎ gěi wǒ. - Give me the number.
对不起打扰你了。,Duìbùqǐ dǎrǎo nǐ le.,I'm sorry to bother you.,对不起打扰你了。 - Duìbùqǐ dǎrǎo nǐ le.,Duìbùqǐ dǎrǎo nǐ le. - I'm sorry to bother you.
幸福跟钱有关系。,Xìngfú gēn qián yǒu guānxì.,Happiness is related to money.,幸福跟钱有关系。 - Xìngfú gēn qián yǒu guānxì.,Xìngfú gēn qián yǒu guānxì. - Happiness is related to money.
他这个人很幽默。,Tā zhè gè rén hěn yōumò.,This guy is very humorous.,他这个人很幽默。 - Tā zhè gè rén hěn yōumò.,Tā zhè gè rén hěn yōumò. - This guy is very humorous.
他租房只有一个条件，就是离公司近。,"Tā zūfáng zhǐyǒu yí gè tiáojiàn, jiùshì lí gōngsī jìn.","When renting a house he only has one requirement, be close to his company.","他租房只有一个条件，就是离公司近。 - Tā zūfáng zhǐyǒu yí gè tiáojiàn, jiùshì lí gōngsī jìn.","Tā zūfáng zhǐyǒu yí gè tiáojiàn, jiùshì lí gōngsī jìn. - When renting a house he only has one requirement, be close to his company."
我们刚买了一些新的家具。,Wǒmen gāng mǎile yìxiē xīn de jiājù .,We just bought some new furniture.,我们刚买了一些新的家具。 - Wǒmen gāng mǎile yìxiē xīn de jiājù .,Wǒmen gāng mǎile yìxiē xīn de jiājù . - We just bought some new furniture.
爸爸在客厅看电视。,Bàbɑ zài kètīng kàn diànshì.,Dad is watching TV in the living room.,爸爸在客厅看电视。 - Bàbɑ zài kètīng kàn diànshì.,Bàbɑ zài kètīng kàn diànshì. - Dad is watching TV in the living room.
我打算买一台新的洗衣机。,Wǒ dǎsuɑn mǎi yì tái xīn de xǐyījī.,I plan to buy a washing machine.,我打算买一台新的洗衣机。 - Wǒ dǎsuɑn mǎi yì tái xīn de xǐyījī.,Wǒ dǎsuɑn mǎi yì tái xīn de xǐyījī. - I plan to buy a washing machine.
我随时可以出发。,Wǒ suíshí kéyǐ chūfā.,I can leave whenever.,我随时可以出发。 - Wǒ suíshí kéyǐ chūfā.,Wǒ suíshí kéyǐ chūfā. - I can leave whenever.
这是他的建议，你可以参考一下。,"Zhè shì tā de jiànyì, nǐ kéyǐ cānkǎo yíxià.","This is his idea, please consider it.","这是他的建议，你可以参考一下。 - Zhè shì tā de jiànyì, nǐ kéyǐ cānkǎo yíxià.","Zhè shì tā de jiànyì, nǐ kéyǐ cānkǎo yíxià. - This is his idea, please consider it."
这家航空公司的机票很便宜。,Zhè jiā hángkōng gōngsī de jīpiào hěn piányi.,This airline company's tickets are cheap.,这家航空公司的机票很便宜。 - Zhè jiā hángkōng gōngsī de jīpiào hěn piányi.,Zhè jiā hángkōng gōngsī de jīpiào hěn piányi. - This airline company's tickets are cheap.
这是一张单程机票。,Zhè shì yì zhāng dānchéng jīpiào.,This is a one way flight ticket.,这是一张单程机票。 - Zhè shì yì zhāng dānchéng jīpiào.,Zhè shì yì zhāng dānchéng jīpiào. - This is a one way flight ticket.
喝酒伤身，并且很丢人。,"Hējiǔ shāngshēn, bìngqiě hěn diūrén.",Drinking alcohol harms the body and brings embarrassment.,"喝酒伤身，并且很丢人。 - Hējiǔ shāngshēn, bìngqiě hěn diūrén.","Hējiǔ shāngshēn, bìngqiě hěn diūrén. - Drinking alcohol harms the body and brings embarrassment."
今天没有往美国的航班。,Jīntiān méiyǒu wǎng Měiguó de hángbān.,There is no flight to the United States today.,今天没有往美国的航班。 - Jīntiān méiyǒu wǎng Měiguó de hángbān.,Jīntiān méiyǒu wǎng Měiguó de hángbān. - There is no flight to the United States today.
飞机几点起飞？,Fēijī jǐdiǎn qǐfēi ?,What time does the flight take off?,飞机几点起飞？ - Fēijī jǐdiǎn qǐfēi ?,Fēijī jǐdiǎn qǐfēi ? - What time does the flight take off?
由于天气的问题，飞机推迟起飞的时间了。,"Yóuyú tiānqì de wèntí, fēijī tuīchí qǐfēi de shíjiān le .","Due to the weather, the plane's take off time will be delayed.","由于天气的问题，飞机推迟起飞的时间了。 - Yóuyú tiānqì de wèntí, fēijī tuīchí qǐfēi de shíjiān le .","Yóuyú tiānqì de wèntí, fēijī tuīchí qǐfēi de shíjiān le . - Due to the weather, the plane's take off time will be delayed."
今天一共有三班去美国的航班。,Jīntiān yígòng yǒu sān bān qù Měiguó de hángbān.,Today there are three flights going to America.,今天一共有三班去美国的航班。 - Jīntiān yígòng yǒu sān bān qù Měiguó de hángbān.,Jīntiān yígòng yǒu sān bān qù Měiguó de hángbān. - Today there are three flights going to America.
画家的工作很辛苦，赚得钱也不多。,"Huàjiā de gōngzuò hěn xīnkǔ, zhuàn de qián yě bùduō.","An artist's job is very difficult, also it comes with low wages.","画家的工作很辛苦，赚得钱也不多。 - Huàjiā de gōngzuò hěn xīnkǔ, zhuàn de qián yě bùduō.","Huàjiā de gōngzuò hěn xīnkǔ, zhuàn de qián yě bùduō. - An artist's job is very difficult, also it comes with low wages."
我家附近的动物园有两只虎。,Wǒ jiā fùjìn de dòngwùyuán yǒu liǎng zhī hǔ.,The zoo next to my home has two tigers.,我家附近的动物园有两只虎。 - Wǒ jiā fùjìn de dòngwùyuán yǒu liǎng zhī hǔ.,Wǒ jiā fùjìn de dòngwùyuán yǒu liǎng zhī hǔ. - The zoo next to my home has two tigers.
以前的人都是骑马，不是开车。,"Yǐqián de rén dōushì qí mǎ, búshì kāichē.","People long ago could all ride horses, not drive cars.","以前的人都是骑马，不是开车。 - Yǐqián de rén dōushì qí mǎ, búshì kāichē.","Yǐqián de rén dōushì qí mǎ, búshì kāichē. - People long ago could all ride horses, not drive cars."
他们家有一只狗跟两只猫。,Tāmen jiā yǒu yì zhī gǒu gēn liǎng zhī māo.,Their home has one dog and two cats.,他们家有一只狗跟两只猫。 - Tāmen jiā yǒu yì zhī gǒu gēn liǎng zhī māo.,Tāmen jiā yǒu yì zhī gǒu gēn liǎng zhī māo. - Their home has one dog and two cats.
他以为我家有两只猫，所以就没有问我可不可以照顾他的狗了。,"Tā yǐwéi wǒ jiā yǒu liǎng zhī māo, suǒyǐ jiù méiyǒu wèn wǒ kě bù kěyǐ zhàogù tā de gǒu le.","He thought my family had two cats, so he did not ask if I could take care of his dog.","他以为我家有两只猫，所以就没有问我可不可以照顾他的狗了。 - Tā yǐwéi wǒ jiā yǒu liǎng zhī māo, suǒyǐ jiù méiyǒu wèn wǒ kě bù kěyǐ zhàogù tā de gǒu le.","Tā yǐwéi wǒ jiā yǒu liǎng zhī māo, suǒyǐ jiù méiyǒu wèn wǒ kě bù kěyǐ zhàogù tā de gǒu le. - He thought my family had two cats, so he did not ask if I could take care of his dog."
从我家到学校的距离不远，可是没有公车可以到。,"Cóng wǒ jiā dào xuéxiào de jùlí bù yuǎn, kěshì méiyǒu gōngchē kěyǐ dào.","It's not far from home to the school, but no buses go there.","从我家到学校的距离不远，可是没有公车可以到。 - Cóng wǒ jiā dào xuéxiào de jùlí bù yuǎn, kěshì méiyǒu gōngchē kěyǐ dào.","Cóng wǒ jiā dào xuéxiào de jùlí bù yuǎn, kěshì méiyǒu gōngchē kěyǐ dào. - It's not far from home to the school, but no buses go there."
他最大的乐趣就是每个周末可以跟朋友一起去登山。,Tā zuìdà de lèqù jiùshì měi gè zhōumò kěyǐ gēn péngyou yìqǐ qù dēngshān.,HIs greatest pleasure is going out mountain climbing every weekend with friends.,他最大的乐趣就是每个周末可以跟朋友一起去登山。 - Tā zuìdà de lèqù jiùshì měi gè zhōumò kěyǐ gēn péngyou yìqǐ qù dēngshān.,Tā zuìdà de lèqù jiùshì měi gè zhōumò kěyǐ gēn péngyou yìqǐ qù dēngshān. - HIs greatest pleasure is going out mountain climbing every weekend with friends.
这件事情绝对不可以让别人知道，要不然我们都会有麻烦。,"Zhè jiàn shìqíng juéduì bù kěyǐ ràng biérén zhīdào, yào bùrán wǒmen dūhuì yǒu máfan.","You absolutely can not let other people know this matter, otherwise, we'll have a lot of trouble.","这件事情绝对不可以让别人知道，要不然我们都会有麻烦。 - Zhè jiàn shìqíng juéduì bù kěyǐ ràng biérén zhīdào, yào bùrán wǒmen dūhuì yǒu máfan.","Zhè jiàn shìqíng juéduì bù kěyǐ ràng biérén zhīdào, yào bùrán wǒmen dūhuì yǒu máfan. - You absolutely can not let other people know this matter, otherwise, we'll have a lot of trouble."
他从小就对科学很有兴趣，所以希望可以成为一位科学家。,"Tā cóngxiǎo jiù duì kēxué hěn yǒu xìngqù, suǒyǐ xīwàng kěyǐ chéngwéi yí wèi kēxué jiā.","He was very interested in science since childhood, so he hopes to become a scientist.","他从小就对科学很有兴趣，所以希望可以成为一位科学家。 - Tā cóngxiǎo jiù duì kēxué hěn yǒu xìngqù, suǒyǐ xīwàng kěyǐ chéngwéi yí wèi kēxué jiā.","Tā cóngxiǎo jiù duì kēxué hěn yǒu xìngqù, suǒyǐ xīwàng kěyǐ chéngwéi yí wèi kēxué jiā. - He was very interested in science since childhood, so he hopes to become a scientist."
我回家后进到家里的第一件事情就是把电灯打开。,Wǒ huíjiā hòu jìndào jiālǐ de dì yī jiàn shìqing jiùshì bǎ diàndēng dǎkāi.,The first thing I do when I get home is to turn on the light.,我回家后进到家里的第一件事情就是把电灯打开。 - Wǒ huíjiā hòu jìndào jiālǐ de dì yī jiàn shìqing jiùshì bǎ diàndēng dǎkāi.,Wǒ huíjiā hòu jìndào jiālǐ de dì yī jiàn shìqing jiùshì bǎ diàndēng dǎkāi. - The first thing I do when I get home is to turn on the light.
他因为生病所以打算放弃做生意了。,Tā yīnwèi shēngbìng suǒyǐ dǎsuàn fàngqì zuò shēngyì le.,He was going to give up his business because of illness.,他因为生病所以打算放弃做生意了。 - Tā yīnwèi shēngbìng suǒyǐ dǎsuàn fàngqì zuò shēngyì le.,Tā yīnwèi shēngbìng suǒyǐ dǎsuàn fàngqì zuò shēngyì le. - He was going to give up his business because of illness.
要收服务费吗？,Yào shōu fúwù fèi ma?,Is there a service charge for that?,要收服务费吗？ - Yào shōu fúwù fèi ma?,Yào shōu fúwù fèi ma? - Is there a service charge for that?
他们在酒店吃饭。,Tāmen zài jiǔdiàn chīfàn.,They eat at the hotel.,他们在酒店吃饭。 - Tāmen zài jiǔdiàn chīfàn.,Tāmen zài jiǔdiàn chīfàn. - They eat at the hotel.
你们的自助餐供应烤肉吗?,Nǐmen de zìzhùcān gōngyìng kǎoròu ma?,Does your buffet offer bbq meat?,你们的自助餐供应烤肉吗? - Nǐmen de zìzhùcān gōngyìng kǎoròu ma?,Nǐmen de zìzhùcān gōngyìng kǎoròu ma? - Does your buffet offer bbq meat?
如果你喜欢吃海鲜的话，你就来对地方了！,"Rúguǒ nǐ xǐhuān chī hǎixiān dehuà, nǐ jiù lái duì dìfāngle!","If you like seafood, you've come to the right place!","如果你喜欢吃海鲜的话，你就来对地方了！ - Rúguǒ nǐ xǐhuān chī hǎixiān dehuà, nǐ jiù lái duì dìfāngle!","Rúguǒ nǐ xǐhuān chī hǎixiān dehuà, nǐ jiù lái duì dìfāngle! - If you like seafood, you've come to the right place!"
这个商店专门出售巧克力。,Zhège shāngdiàn zhuānmén chūshòu qiǎokèlì.,This shop specializes in chocolates.,这个商店专门出售巧克力。 - Zhège shāngdiàn zhuānmén chūshòu qiǎokèlì.,Zhège shāngdiàn zhuānmén chūshòu qiǎokèlì. - This shop specializes in chocolates.
他做事很仔细，所以我们都很相信他。,"Tā zuòshì hěn zǐxì, suǒyǐ wǒmen dōu hěn xiāngxìn tā.","He does things very carefully, so we all trust in him.","他做事很仔细，所以我们都很相信他。 - Tā zuòshì hěn zǐxì, suǒyǐ wǒmen dōu hěn xiāngxìn tā.","Tā zuòshì hěn zǐxì, suǒyǐ wǒmen dōu hěn xiāngxìn tā. - He does things very carefully, so we all trust in him."
妈妈常问哥哥有没有喜欢的对象。,Māma cháng wèn gēge yǒu méiyǒu xǐhuan de duìxiàng.,Mother often asks my older brother if he has a partner that he likes.,妈妈常问哥哥有没有喜欢的对象。 - Māma cháng wèn gēge yǒu méiyǒu xǐhuan de duìxiàng.,Māma cháng wèn gēge yǒu méiyǒu xǐhuan de duìxiàng. - Mother often asks my older brother if he has a partner that he likes.
我有很多亲戚都住在美国。,Wǒ yǒu hěnduō qīnqi dōu zhù zài Měiguó.,I have a lot of relatives living in the United States.,我有很多亲戚都住在美国。 - Wǒ yǒu hěnduō qīnqi dōu zhù zài Měiguó.,Wǒ yǒu hěnduō qīnqi dōu zhù zài Měiguó. - I have a lot of relatives living in the United States.
他是一个优秀的篮球员，每次比赛一定都会得分。,"Tā shì yí gè yōuxiù de lánqiú yuán, měi cì bǐsài yídìng dōu huì dé fēn.","He's a talented basketball player, every game he scores points.","他是一个优秀的篮球员，每次比赛一定都会得分。 - Tā shì yí gè yōuxiù de lánqiú yuán, měi cì bǐsài yídìng dōu huì dé fēn.","Tā shì yí gè yōuxiù de lánqiú yuán, měi cì bǐsài yídìng dōu huì dé fēn. - He's a talented basketball player, every game he scores points."
他是一个很有责任心的人，总是把事情做完才离开。,"Tā shì yí gè hěn yǒu zérèn xīn de rén, zǒngshì bǎ shìqing zuòwán cái líkāi.","He's a very responsible person, always leaves only after finishing his tasks.","他是一个很有责任心的人，总是把事情做完才离开。 - Tā shì yí gè hěn yǒu zérèn xīn de rén, zǒngshì bǎ shìqing zuòwán cái líkāi.","Tā shì yí gè hěn yǒu zérèn xīn de rén, zǒngshì bǎ shìqing zuòwán cái líkāi. - He's a very responsible person, always leaves only after finishing his tasks."
我爸爸年轻的时候很帅，很多女生喜欢他。,"Wǒ bàba niánqīng de shíhou hěn shuài, hěnduō nǚshēng xǐhuān tā.","When my dad was young he was very handsome, a lot of girls liked him.","我爸爸年轻的时候很帅，很多女生喜欢他。 - Wǒ bàba niánqīng de shíhou hěn shuài, hěnduō nǚshēng xǐhuān tā.","Wǒ bàba niánqīng de shíhou hěn shuài, hěnduō nǚshēng xǐhuān tā. - When my dad was young he was very handsome, a lot of girls liked him."
不管你的父母说什么，他们都希望你幸福。,"Bùguǎn nǐ de fùmǔ shuō shénme, tāmen dōu xīwàng nǐ xìngfú.","Whatever your parents say, they should wish you happiness.","不管你的父母说什么，他们都希望你幸福。 - Bùguǎn nǐ de fùmǔ shuō shénme, tāmen dōu xīwàng nǐ xìngfú.","Bùguǎn nǐ de fùmǔ shuō shénme, tāmen dōu xīwàng nǐ xìngfú. - Whatever your parents say, they should wish you happiness."
结婚是很重要的事，两个人一定要想清楚。,"Jiéhūn shì hěn zhòngyào de shì, liǎng gèrén yídìngyào xiǎng qīngchǔ.","Marriage is an important thing, the two people must think clearly.","结婚是很重要的事，两个人一定要想清楚。 - Jiéhūn shì hěn zhòngyào de shì, liǎng gèrén yídìngyào xiǎng qīngchǔ.","Jiéhūn shì hěn zhòngyào de shì, liǎng gèrén yídìngyào xiǎng qīngchǔ. - Marriage is an important thing, the two people must think clearly."
我要出国学习一段时间。,Wǒ yào chūguó xuéxí yí duàn shíjiān.,I want to go abroad to study for a time.,我要出国学习一段时间。 - Wǒ yào chūguó xuéxí yí duàn shíjiān.,Wǒ yào chūguó xuéxí yí duàn shíjiān. - I want to go abroad to study for a time.
我和你有一样的感受。,Wǒ hé nǐ yǒu yíyàng de gǎnshòu .,I have the same feeling as you.,我和你有一样的感受。 - Wǒ hé nǐ yǒu yíyàng de gǎnshòu .,Wǒ hé nǐ yǒu yíyàng de gǎnshòu . - I have the same feeling as you.
这段时间的经历让我很难忘。,Zhè duàn shíjiān de jīnglì ràng wǒ hěn nánwàng .,The experience from this time is hard to forget.,这段时间的经历让我很难忘。 - Zhè duàn shíjiān de jīnglì ràng wǒ hěn nánwàng .,Zhè duàn shíjiān de jīnglì ràng wǒ hěn nánwàng . - The experience from this time is hard to forget.
很多孩子都觉得打针是一件可怕的事情。,Hěn duō háizi dōu juéde dǎzhēn shì yí jiàn kěpà de shìqíng.,Lots of children think getting a shot is a horrible thing.,很多孩子都觉得打针是一件可怕的事情。 - Hěn duō háizi dōu juéde dǎzhēn shì yí jiàn kěpà de shìqíng.,Hěn duō háizi dōu juéde dǎzhēn shì yí jiàn kěpà de shìqíng. - Lots of children think getting a shot is a horrible thing.
我需要你的帮助。,Wǒ xūyào nǐ de bāngzhù.,I need your help.,我需要你的帮助。 - Wǒ xūyào nǐ de bāngzhù.,Wǒ xūyào nǐ de bāngzhù. - I need your help.
她说得一口又流利又地道的中文。,Tā shuō dé yīkǒu yòu liúlì yòu dìdào de zhōngwén.,She speaks fluent and authentic Chinese.,她说得一口又流利又地道的中文。 - Tā shuō dé yīkǒu yòu liúlì yòu dìdào de zhōngwén.,Tā shuō dé yīkǒu yòu liúlì yòu dìdào de zhōngwén. - She speaks fluent and authentic Chinese.
请把那些杯子和碟子收拾好.,Qǐng bǎ nàxiē bēizi hé diézi shōushí hǎo.,Please pack up those cups and dishes.,请把那些杯子和碟子收拾好. - Qǐng bǎ nàxiē bēizi hé diézi shōushí hǎo.,Qǐng bǎ nàxiē bēizi hé diézi shōushí hǎo. - Please pack up those cups and dishes.
医生一会儿就到。,Yīshēng yìhuìr jiù dào.,The doctor will arrive in a minute.,医生一会儿就到。 - Yīshēng yìhuìr jiù dào.,Yīshēng yìhuìr jiù dào. - The doctor will arrive in a minute.
这只手机实在是太贵了。,Zhè zhī shǒujī shízài shì tài guìle.,This cellphone is really expensive.,这只手机实在是太贵了。 - Zhè zhī shǒujī shízài shì tài guìle.,Zhè zhī shǒujī shízài shì tài guìle. - This cellphone is really expensive.
我将留在这里一直到十二点钟。,Wǒ jiāng liú zài zhèlǐ yīzhí dào shí'èr diǎn zhōng.,I will stay here until twelve o'clock.,我将留在这里一直到十二点钟。 - Wǒ jiāng liú zài zhèlǐ yīzhí dào shí'èr diǎn zhōng.,Wǒ jiāng liú zài zhèlǐ yīzhí dào shí'èr diǎn zhōng. - I will stay here until twelve o'clock.
我真羡慕．你多美啊！,Wǒ zhēn xiànmù. Nǐ duō měi a!,I'm so envious. You're beautiful!,我真羡慕．你多美啊！ - Wǒ zhēn xiànmù. Nǐ duō měi a!,Wǒ zhēn xiànmù. Nǐ duō měi a! - I'm so envious. You're beautiful!
这一次旅游虽然并不是非常的顺利，但是我们在过程中学到很多。,"Zhè yīcì lǚyóu suīrán bìng bùshì fēicháng de shùnlì, dànshì wǒmen zài guòchéng zhōngxué dào hěnduō.","All those this time traveling wasn't very smooth, we did learn a lot during the process.","这一次旅游虽然并不是非常的顺利，但是我们在过程中学到很多。 - Zhè yīcì lǚyóu suīrán bìng bùshì fēicháng de shùnlì, dànshì wǒmen zài guòchéng zhōngxué dào hěnduō.","Zhè yīcì lǚyóu suīrán bìng bùshì fēicháng de shùnlì, dànshì wǒmen zài guòchéng zhōngxué dào hěnduō. - All those this time traveling wasn't very smooth, we did learn a lot during the process."
他也花了十个月完成他的硕士论文吗？,Tā yě huāle shí gè yuè wánchéng tā de shuòshì lùnwén ma?,Did he also spend ten months to complete his master's thesis?,他也花了十个月完成他的硕士论文吗？ - Tā yě huāle shí gè yuè wánchéng tā de shuòshì lùnwén ma?,Tā yě huāle shí gè yuè wánchéng tā de shuòshì lùnwén ma? - Did he also spend ten months to complete his master's thesis?
她对在这儿过冬天不适应。,Tā duì zài zhè'er guò dōngtiān bù shìyìng.,She's is not used to spending the winter here.,她对在这儿过冬天不适应。 - Tā duì zài zhè'er guò dōngtiān bù shìyìng.,Tā duì zài zhè'er guò dōngtiān bù shìyìng. - She's is not used to spending the winter here.
他有早睡早起的习惯。,Tā yǒu zǎo shuì zǎo qǐ de xíguàn.,He has the habit of going to bed and getting up early.,他有早睡早起的习惯。 - Tā yǒu zǎo shuì zǎo qǐ de xíguàn.,Tā yǒu zǎo shuì zǎo qǐ de xíguàn. - He has the habit of going to bed and getting up early.
为了有一个健康的身体，我要改变我的作息习惯。,"Wèile yǒu yí gè jiànkāng de shēntǐ, wǒ yào gǎibiàn wǒ de zuòxī xíguàn.","In order to have be healthy, I want to change my work and rest habits.","为了有一个健康的身体，我要改变我的作息习惯。 - Wèile yǒu yí gè jiànkāng de shēntǐ, wǒ yào gǎibiàn wǒ de zuòxī xíguàn.","Wèile yǒu yí gè jiànkāng de shēntǐ, wǒ yào gǎibiàn wǒ de zuòxī xíguàn. - In order to have be healthy, I want to change my work and rest habits."
按时吃饭，按时睡觉是个好习惯。,"Anshí chīfàn, ànshí shuìjiào shì gè hǎo xíguàn.",Eating on time and sleeping on time are a good habits.,"按时吃饭，按时睡觉是个好习惯。 - Anshí chīfàn, ànshí shuìjiào shì gè hǎo xíguàn.","Anshí chīfàn, ànshí shuìjiào shì gè hǎo xíguàn. - Eating on time and sleeping on time are a good habits."
周末放假是不变的规律。,Zhōumò fàngjià shì búbiàn de guīlǜ.,We regularly have weekend holiday.,周末放假是不变的规律。 - Zhōumò fàngjià shì búbiàn de guīlǜ.,Zhōumò fàngjià shì búbiàn de guīlǜ. - We regularly have weekend holiday.
没想到，我又回到了学校，开始学生的生活。,"Méi xiǎng dào, wǒ yòu huídào le xuéxiào,kāishǐ xuésheng de shēnghuó.","I did not expect, it, but I went back to school and started the student life again.","没想到，我又回到了学校，开始学生的生活。 - Méi xiǎng dào, wǒ yòu huídào le xuéxiào,kāishǐ xuésheng de shēnghuó.","Méi xiǎng dào, wǒ yòu huídào le xuéxiào,kāishǐ xuésheng de shēnghuó. - I did not expect, it, but I went back to school and started the student life again."
最近压力很大，所以一有休息时间，我就找朋友出去。,Zuì jìn yā lì hěn dà ，suǒ yǐ yī yǒu xiū xī shí jiān ，wǒ jiù zhǎo péng yǒu chū qù。,"Recently I've had great pressure, so whenever I have a free time, I find friends and go out.",最近压力很大，所以一有休息时间，我就找朋友出去。 - Zuì jìn yā lì hěn dà ，suǒ yǐ yī yǒu xiū xī shí jiān ，wǒ jiù zhǎo péng yǒu chū qù。,"Zuì jìn yā lì hěn dà ，suǒ yǐ yī yǒu xiū xī shí jiān ，wǒ jiù zhǎo péng yǒu chū qù。 - Recently I've had great pressure, so whenever I have a free time, I find friends and go out."
我没有办法接受这种理由。,Wǒ méi yǒu bàn fǎ jiē shòu zhè zhǒng lǐyóu。,I have no way to accept this reason.,我没有办法接受这种理由。 - Wǒ méi yǒu bàn fǎ jiē shòu zhè zhǒng lǐyóu。,Wǒ méi yǒu bàn fǎ jiē shòu zhè zhǒng lǐyóu。 - I have no way to accept this reason.
我们计划生三个小孩。,Wǒmen jìhuà shēng sān gè xiǎohái.,We plan to have three children.,我们计划生三个小孩。 - Wǒmen jìhuà shēng sān gè xiǎohái.,Wǒmen jìhuà shēng sān gè xiǎohái. - We plan to have three children.
我很重视孩子的教育。,Wǒ hěn zhòng shì hái zǐ de jiàoyù.,I attach great importance to my child's education.,我很重视孩子的教育。 - Wǒ hěn zhòng shì hái zǐ de jiàoyù.,Wǒ hěn zhòng shì hái zǐ de jiàoyù. - I attach great importance to my child's education.
中国人越来越重视环保了。,Zhōngguó rén yuè lái yuè zhòngshì huánbǎo le.,Chinese people respect the environment more and more.,中国人越来越重视环保了。 - Zhōngguó rén yuè lái yuè zhòngshì huánbǎo le.,Zhōngguó rén yuè lái yuè zhòngshì huánbǎo le. - Chinese people respect the environment more and more.
我买了一个新的餐盒，因为之前的餐盒不太好用。,Wǒ mǎi le yī gè xīn de cān hé，yīnwèi zhīqián de cānhé bú tài hǎoyòng.,I bought a new lunch box because the old lunch box was not very easy to use.,我买了一个新的餐盒，因为之前的餐盒不太好用。 - Wǒ mǎi le yī gè xīn de cān hé，yīnwèi zhīqián de cānhé bú tài hǎoyòng.,Wǒ mǎi le yī gè xīn de cān hé，yīnwèi zhīqián de cānhé bú tài hǎoyòng. - I bought a new lunch box because the old lunch box was not very easy to use.
街上开满了樱花，非常浪漫。,Jiē shàng kāi mǎn le yīnghuā，fēicháng làngmàn.,"The streets are full of cherry blossoms, it is very romantic.",街上开满了樱花，非常浪漫。 - Jiē shàng kāi mǎn le yīnghuā，fēicháng làngmàn.,"Jiē shàng kāi mǎn le yīnghuā，fēicháng làngmàn. - The streets are full of cherry blossoms, it is very romantic."
我们可以带环保袋，这样就不必买塑料袋了。,Wǒ men kě yǐ dài huán bǎo dài，zhè yàng jiù bú bì mǎi sùliàodài le.,"We can bring eco-bags, so we do not have to buy plastic bags.",我们可以带环保袋，这样就不必买塑料袋了。 - Wǒ men kě yǐ dài huán bǎo dài，zhè yàng jiù bú bì mǎi sùliàodài le.,"Wǒ men kě yǐ dài huán bǎo dài，zhè yàng jiù bú bì mǎi sùliàodài le. - We can bring eco-bags, so we do not have to buy plastic bags."
这件衣服我花了两个月才做好。,Zhè jiàn yī fú wǒ huā le liǎng gè yuè cái zuò hǎo。,It took me two months to make this dress.,这件衣服我花了两个月才做好。 - Zhè jiàn yī fú wǒ huā le liǎng gè yuè cái zuò hǎo。,Zhè jiàn yī fú wǒ huā le liǎng gè yuè cái zuò hǎo。 - It took me two months to make this dress.
这个城市在这十年来改变了不少。,Zhè gè chéng shì zài zhè shí nián lái gǎi biàn le bù shǎo。,The city has changed a lot in the past decade.,这个城市在这十年来改变了不少。 - Zhè gè chéng shì zài zhè shí nián lái gǎi biàn le bù shǎo。,Zhè gè chéng shì zài zhè shí nián lái gǎi biàn le bù shǎo。 - The city has changed a lot in the past decade.
我有一点后悔昨天没你们一起吃饭。,Wǒ yǒu yī diǎn hòu huǐ zuó tiān méi nǐ men yī qǐ chī fàn.,I have a little regret yesterday you did not eat together.,我有一点后悔昨天没你们一起吃饭。 - Wǒ yǒu yī diǎn hòu huǐ zuó tiān méi nǐ men yī qǐ chī fàn.,Wǒ yǒu yī diǎn hòu huǐ zuó tiān méi nǐ men yī qǐ chī fàn. - I have a little regret yesterday you did not eat together.
